"route","routeType","entity","status","finalUrl","indexable","sitemap","canonical","canonicalMatches","robots","lang","dir","contentLang","contentDir","title","description","h1","wordCount","contentLength","schemaTypes","inlinks","outlinks","crawlDepth","titleDuplicateCount","descriptionDuplicateCount","renderedHtmlAvailable","httpChain","wwwChain","trailingChain"
"/accessibility","static","accessibility","200","http://localhost:3100/accessibility","true","true","https://washop.co.il/accessibility","true","index, follow","he","rtl","he","rtl","הצהרת נגישות | washop.co.il","הצהרת הנגישות של וואשופ.","הצהרת נגישות","172","1029","","66","20","1","1","1","true","308:http://washop.co.il/accessibility->https://washop.co.il/accessibility|200:https://washop.co.il/accessibility->","301:https://www.washop.co.il/accessibility->https://washop.co.il/accessibility|200:https://washop.co.il/accessibility->","308:http://localhost:3100/accessibility/->/accessibility|200:http://localhost:3100/accessibility->"
"/seller-rules","static","seller-rules","200","http://localhost:3100/seller-rules","false","false","https://washop.co.il/seller-rules","true","noindex, follow","he","rtl","he","rtl","כללי מוכרים ב-Washop | washop.co.il","תנאי פרסום וסטנדרטים לחנויות וואטסאפ שרוצות להופיע בוואשופ.","כללים והנחיות למוכרים ב-Washop","375","2267","","69","20","1","1","1","true","308:http://washop.co.il/seller-rules->https://washop.co.il/seller-rules|200:https://washop.co.il/seller-rules->","301:https://www.washop.co.il/seller-rules->https://washop.co.il/seller-rules|200:https://washop.co.il/seller-rules->","308:http://localhost:3100/seller-rules/->/seller-rules|200:http://localhost:3100/seller-rules->"
"/category/technology-gadgets","category","technology-gadgets","200","http://localhost:3100/category/technology-gadgets","false","false","https://washop.co.il/category/technology-gadgets","true","noindex, follow","he","rtl","he","rtl","טכנולוגיה וגאדג׳טים חנויות וואטסאפ מאושרות בוואשופ","חנויות וואטסאפ עם גאדג׳טים, אביזרים ומוצרי טכנולוגיה.","טכנולוגיה וגאדג׳טים","154","941","BreadcrumbList","0","20","","1","1","true","308:http://washop.co.il/category/technology-gadgets->https://washop.co.il/category/technology-gadgets|200:https://washop.co.il/category/technology-gadgets->","301:https://www.washop.co.il/category/technology-gadgets->https://washop.co.il/category/technology-gadgets|200:https://washop.co.il/category/technology-gadgets->","308:http://localhost:3100/category/technology-gadgets/->/category/technology-gadgets|200:http://localhost:3100/category/technology-gadgets->"
"/category/phones-accessories","category","phones-accessories","200","http://localhost:3100/category/phones-accessories","false","false","https://washop.co.il/category/phones-accessories","true","noindex, follow","he","rtl","he","rtl","טלפונים ואביזרים חנויות וואטסאפ מאושרות בוואשופ","טלפונים, כיסויים, מטענים ואביזרים שנמכרים דרך קטלוג וואטסאפ.","טלפונים ואביזרים","155","942","BreadcrumbList","0","20","","1","1","true","308:http://washop.co.il/category/phones-accessories->https://washop.co.il/category/phones-accessories|200:https://washop.co.il/category/phones-accessories->","301:https://www.washop.co.il/category/phones-accessories->https://washop.co.il/category/phones-accessories|200:https://washop.co.il/category/phones-accessories->","308:http://localhost:3100/category/phones-accessories/->/category/phones-accessories|200:http://localhost:3100/category/phones-accessories->"
"/category/computers-office","category","computers-office","200","http://localhost:3100/category/computers-office","false","false","https://washop.co.il/category/computers-office","true","noindex, follow","he","rtl","he","rtl","מחשבים וציוד משרדי חנויות וואטסאפ מאושרות בוואשופ","מחשבים, ציוד עבודה, אביזרי משרד ופתרונות לעסק ולבית.","מחשבים וציוד משרדי","157","938","BreadcrumbList","0","20","","1","1","true","308:http://washop.co.il/category/computers-office->https://washop.co.il/category/computers-office|200:https://washop.co.il/category/computers-office->","301:https://www.washop.co.il/category/computers-office->https://washop.co.il/category/computers-office|200:https://washop.co.il/category/computers-office->","308:http://localhost:3100/category/computers-office/->/category/computers-office|200:http://localhost:3100/category/computers-office->"
"/category/website-building","category","website-building","200","http://localhost:3100/category/website-building","true","true","https://washop.co.il/category/website-building","true","index, follow","he","rtl","he","rtl","בניית אתרים לעסקים דרך וואטסאפ בוואשופ","גלו נותני שירות מאושרים לבניית אתרים, דפי נחיתה ונוכחות דיגיטלית לעסקים. אפשר לבדוק את תחומי העבודה ולפנות ישירות בוואטסאפ כדי לברר התאמה לפרויקט.","עסקים לבניית אתרים","415","2456","BreadcrumbList|ItemList","66","21","1","1","1","true","308:http://washop.co.il/category/website-building->https://washop.co.il/category/website-building|200:https://washop.co.il/category/website-building->","301:https://www.washop.co.il/category/website-building->https://washop.co.il/category/website-building|200:https://washop.co.il/category/website-building->","308:http://localhost:3100/category/website-building/->/category/website-building|200:http://localhost:3100/category/website-building->"
"/category/ai-tools","category","ai-tools","200","http://localhost:3100/category/ai-tools","true","true","https://washop.co.il/category/ai-tools","true","index, follow","he","rtl","he","rtl","כלים ובינה מלאכותית חנויות וואטסאפ מאושרות בוואשופ","כלים מבוססי בינה מלאכותית, אוטומציות ופתרונות חכמים לעסק. בקטגוריה הזו מופיעות רק חנויות ועסקים שאושרו ידנית בוואשופ, כדי שתוכלו לפתוח קטלוג, לבדוק פרטים ולפנות ישירות למוכר.","כלים ובינה מלאכותית","335","1990","BreadcrumbList|ItemList","66","21","1","1","1","true","308:http://washop.co.il/category/ai-tools->https://washop.co.il/category/ai-tools|200:https://washop.co.il/category/ai-tools->","301:https://www.washop.co.il/category/ai-tools->https://washop.co.il/category/ai-tools|200:https://washop.co.il/category/ai-tools->","308:http://localhost:3100/category/ai-tools/->/category/ai-tools|200:http://localhost:3100/category/ai-tools->"
"/category/software-digital","category","software-digital","200","http://localhost:3100/category/software-digital","true","true","https://washop.co.il/category/software-digital","true","index, follow","he","rtl","he","rtl","תוכנה ודיגיטל חנויות וואטסאפ מאושרות בוואשופ","שירותי תוכנה, דיגיטל, מערכות וכלים טכנולוגיים לעסקים. בקטגוריה הזו מופיעות רק חנויות ועסקים שאושרו ידנית בוואשופ, כדי שתוכלו לפתוח קטלוג, לבדוק פרטים ולפנות ישירות למוכר.","תוכנה ודיגיטל","332","1974","BreadcrumbList|ItemList","66","21","1","1","1","true","308:http://washop.co.il/category/software-digital->https://washop.co.il/category/software-digital|200:https://washop.co.il/category/software-digital->","301:https://www.washop.co.il/category/software-digital->https://washop.co.il/category/software-digital|200:https://washop.co.il/category/software-digital->","308:http://localhost:3100/category/software-digital/->/category/software-digital|200:http://localhost:3100/category/software-digital->"
"/category/app-development","category","app-development","200","http://localhost:3100/category/app-development","true","true","https://washop.co.il/category/app-development","true","index, follow","he","rtl","he","rtl","פיתוח אפליקציות לעסקים דרך וואטסאפ בוואשופ","גלו נותני שירות מאושרים לפיתוח אפליקציות וכלים דיגיטליים לעסקים. אפשר לקרוא על השירות, לפתוח את קטלוג הוואטסאפ ולברר ישירות התאמה, היקף עבודה ולוחות זמנים.","עסקים לפיתוח אפליקציות","422","2527","BreadcrumbList|ItemList","66","21","1","1","1","true","308:http://washop.co.il/category/app-development->https://washop.co.il/category/app-development|200:https://washop.co.il/category/app-development->","301:https://www.washop.co.il/category/app-development->https://washop.co.il/category/app-development|200:https://washop.co.il/category/app-development->","308:http://localhost:3100/category/app-development/->/category/app-development|200:http://localhost:3100/category/app-development->"
"/category/technical-services-businesses","category","technical-services-businesses","200","http://localhost:3100/category/technical-services-businesses","true","true","https://washop.co.il/category/technical-services-businesses","true","index, follow","he","rtl","he","rtl","שירותים טכניים לעסקים דרך וואטסאפ בוואשופ","גלו נותני שירות מאושרים לתמיכה טכנית, פתרון תקלות וכלים דיגיטליים לעסקים. אפשר להסביר את התקלה או הצורך ולברר ישירות זמינות, היקף טיפול ועלות.","שירותים טכניים לעסקים","425","2472","BreadcrumbList|ItemList","66","21","1","1","1","true","308:http://washop.co.il/category/technical-services-businesses->https://washop.co.il/category/technical-services-businesses|200:https://washop.co.il/category/technical-services-businesses->","301:https://www.washop.co.il/category/technical-services-businesses->https://washop.co.il/category/technical-services-businesses|200:https://washop.co.il/category/technical-services-businesses->","308:http://localhost:3100/category/technical-services-businesses/->/category/technical-services-businesses|200:http://localhost:3100/category/technical-services-businesses->"
"/category/electronics-electricity","category","electronics-electricity","200","http://localhost:3100/category/electronics-electricity","false","false","https://washop.co.il/category/electronics-electricity","true","noindex, follow","he","rtl","he","rtl","חשמל ואלקטרוניקה חנויות וואטסאפ מאושרות בוואשופ","מוצרי חשמל, אלקטרוניקה ואביזרים שימושיים לבית ולעסק.","חשמל ואלקטרוניקה","154","934","BreadcrumbList","0","20","","1","1","true","308:http://washop.co.il/category/electronics-electricity->https://washop.co.il/category/electronics-electricity|200:https://washop.co.il/category/electronics-electricity->","301:https://www.washop.co.il/category/electronics-electricity->https://washop.co.il/category/electronics-electricity|200:https://washop.co.il/category/electronics-electricity->","308:http://localhost:3100/category/electronics-electricity/->/category/electronics-electricity|200:http://localhost:3100/category/electronics-electricity->"
"/category/hair-barbers","category","hair-barbers","200","http://localhost:3100/category/hair-barbers","true","true","https://washop.co.il/category/hair-barbers","true","index, follow","he","rtl","he","rtl","מספרות וטיפוח שיער חנויות וואטסאפ מאושרות בוואשופ","מספרות, מוצרי שיער, טיפולים ותיאום ישיר דרך וואטסאפ. בקטגוריה הזו מופיעות רק חנויות ועסקים שאושרו ידנית בוואשופ, כדי שתוכלו לפתוח קטלוג, לבדוק פרטים ולפנות ישירות למוכר.","מספרות וטיפוח שיער","322","1906","BreadcrumbList|ItemList","66","22","1","1","1","true","308:http://washop.co.il/category/hair-barbers->https://washop.co.il/category/hair-barbers|200:https://washop.co.il/category/hair-barbers->","301:https://www.washop.co.il/category/hair-barbers->https://washop.co.il/category/hair-barbers|200:https://washop.co.il/category/hair-barbers->","308:http://localhost:3100/category/hair-barbers/->/category/hair-barbers|200:http://localhost:3100/category/hair-barbers->"
"/category/beauty-care","category","beauty-care","200","http://localhost:3100/category/beauty-care","true","true","https://washop.co.il/category/beauty-care","true","index, follow","he","rtl","he","rtl","יופי וטיפוח חנויות וואטסאפ מאושרות בוואשופ","מוצרי טיפוח, קוסמטיקה, טיפולי יופי ושירותים משלימים. בקטגוריה הזו מופיעות רק חנויות ועסקים שאושרו ידנית בוואשופ, כדי שתוכלו לפתוח קטלוג, לבדוק פרטים ולפנות ישירות למוכר.","יופי וטיפוח","319","1892","BreadcrumbList|ItemList","66","22","1","1","1","true","308:http://washop.co.il/category/beauty-care->https://washop.co.il/category/beauty-care|200:https://washop.co.il/category/beauty-care->","301:https://www.washop.co.il/category/beauty-care->https://washop.co.il/category/beauty-care|200:https://washop.co.il/category/beauty-care->","308:http://localhost:3100/category/beauty-care/->/category/beauty-care|200:http://localhost:3100/category/beauty-care->"
"/category/cosmetics-perfumes","category","cosmetics-perfumes","200","http://localhost:3100/category/cosmetics-perfumes","false","false","https://washop.co.il/category/cosmetics-perfumes","true","noindex, follow","he","rtl","he","rtl","קוסמטיקה ובשמים חנויות וואטסאפ מאושרות בוואשופ","בשמים, מוצרי קוסמטיקה וטיפוח אישי בקטלוג וואטסאפ.","קוסמטיקה ובשמים","154","929","BreadcrumbList","0","20","","1","1","true","308:http://washop.co.il/category/cosmetics-perfumes->https://washop.co.il/category/cosmetics-perfumes|200:https://washop.co.il/category/cosmetics-perfumes->","301:https://www.washop.co.il/category/cosmetics-perfumes->https://washop.co.il/category/cosmetics-perfumes|200:https://washop.co.il/category/cosmetics-perfumes->","308:http://localhost:3100/category/cosmetics-perfumes/->/category/cosmetics-perfumes|200:http://localhost:3100/category/cosmetics-perfumes->"
"/category/hair-care-products","category","hair-care-products","200","http://localhost:3100/category/hair-care-products","true","true","https://washop.co.il/category/hair-care-products","true","index, follow","he","rtl","he","rtl","מוצרי טיפוח שיער חנויות וואטסאפ מאושרות בוואשופ","מוצרי טיפוח שיער, חומרים מקצועיים ופתרונות לשיער. בקטגוריה הזו מופיעות רק חנויות ועסקים שאושרו ידנית בוואשופ, כדי שתוכלו לפתוח קטלוג, לבדוק פרטים ולפנות ישירות למוכר.","מוצרי טיפוח שיער","321","1899","BreadcrumbList|ItemList","66","22","1","1","1","true","308:http://washop.co.il/category/hair-care-products->https://washop.co.il/category/hair-care-products|200:https://washop.co.il/category/hair-care-products->","301:https://www.washop.co.il/category/hair-care-products->https://washop.co.il/category/hair-care-products|200:https://washop.co.il/category/hair-care-products->","308:http://localhost:3100/category/hair-care-products/->/category/hair-care-products|200:http://localhost:3100/category/hair-care-products->"
"/category/barber-equipment-accessories","category","barber-equipment-accessories","200","http://localhost:3100/category/barber-equipment-accessories","true","true","https://washop.co.il/category/barber-equipment-accessories","true","index, follow","he","rtl","he","rtl","ציוד ואביזרים לספרים חנויות וואטסאפ מאושרות בוואשופ","ציוד לספרים, אביזרים מקצועיים ומוצרים לעבודה במספרה. בקטגוריה הזו מופיעות רק חנויות ועסקים שאושרו ידנית בוואשופ, כדי שתוכלו לפתוח קטלוג, לבדוק פרטים ולפנות ישירות למוכר.","ציוד ואביזרים לספרים","321","1910","BreadcrumbList|ItemList","3","22","1","1","1","true","308:http://washop.co.il/category/barber-equipment-accessories->https://washop.co.il/category/barber-equipment-accessories|200:https://washop.co.il/category/barber-equipment-accessories->","301:https://www.washop.co.il/category/barber-equipment-accessories->https://washop.co.il/category/barber-equipment-accessories|200:https://washop.co.il/category/barber-equipment-accessories->","308:http://localhost:3100/category/barber-equipment-accessories/->/category/barber-equipment-accessories|200:http://localhost:3100/category/barber-equipment-accessories->"
"/category/courses-training","category","courses-training","200","http://localhost:3100/category/courses-training","true","true","https://washop.co.il/category/courses-training","true","index, follow","he","rtl","he","rtl","קורסים והכשרות חנויות וואטסאפ מאושרות בוואשופ","קורסים, סדנאות ותוכן מקצועי שנמכרים או מנוהלים דרך וואטסאפ. בקטגוריה הזו מופיעות רק חנויות ועסקים שאושרו ידנית בוואשופ, כדי שתוכלו לפתוח קטלוג, לבדוק פרטים ולפנות ישירות למוכר.","קורסים והכשרות","321","1905","BreadcrumbList|ItemList","8","22","1","1","1","true","308:http://washop.co.il/category/courses-training->https://washop.co.il/category/courses-training|200:https://washop.co.il/category/courses-training->","301:https://www.washop.co.il/category/courses-training->https://washop.co.il/category/courses-training|200:https://washop.co.il/category/courses-training->","308:http://localhost:3100/category/courses-training/->/category/courses-training|200:http://localhost:3100/category/courses-training->"
"/category/fashion-shoes","category","fashion-shoes","200","http://localhost:3100/category/fashion-shoes","true","true","https://washop.co.il/category/fashion-shoes","true","index, follow","he","rtl","he","rtl","אופנה והנעלה חנויות וואטסאפ מאושרות בוואשופ","ביגוד, נעליים, פריטי סטייל וקטלוגים שמתעדכנים במהירות. בקטגוריה הזו מופיעות רק חנויות ועסקים שאושרו ידנית בוואשופ, כדי שתוכלו לפתוח קטלוג, לבדוק פרטים ולפנות ישירות למוכר.","אופנה והנעלה","290","1714","BreadcrumbList|ItemList","6","24","1","1","1","true","308:http://washop.co.il/category/fashion-shoes->https://washop.co.il/category/fashion-shoes|200:https://washop.co.il/category/fashion-shoes->","301:https://www.washop.co.il/category/fashion-shoes->https://washop.co.il/category/fashion-shoes|200:https://washop.co.il/category/fashion-shoes->","308:http://localhost:3100/category/fashion-shoes/->/category/fashion-shoes|200:http://localhost:3100/category/fashion-shoes->"
"/category/kids-baby-clothes","category","kids-baby-clothes","200","http://localhost:3100/category/kids-baby-clothes","false","false","https://washop.co.il/category/kids-baby-clothes","true","noindex, follow","he","rtl","he","rtl","בגדי ילדים ותינוקות חנויות וואטסאפ מאושרות בוואשופ","בגדים, סטים ומתנות לילדים ולתינוקות בהזמנה ישירה.","בגדי ילדים ותינוקות","156","937","BreadcrumbList","0","20","","1","1","true","308:http://washop.co.il/category/kids-baby-clothes->https://washop.co.il/category/kids-baby-clothes|200:https://washop.co.il/category/kids-baby-clothes->","301:https://www.washop.co.il/category/kids-baby-clothes->https://washop.co.il/category/kids-baby-clothes|200:https://washop.co.il/category/kids-baby-clothes->","308:http://localhost:3100/category/kids-baby-clothes/->/category/kids-baby-clothes|200:http://localhost:3100/category/kids-baby-clothes->"
"/category/food-bakery-catering","category","food-bakery-catering","200","http://localhost:3100/category/food-bakery-catering","false","false","https://washop.co.il/category/food-bakery-catering","true","noindex, follow","he","rtl","he","rtl","אוכל, מאפים וקייטרינג חנויות וואטסאפ מאושרות בוואשופ","אוכל ביתי, מגשי אירוח, מאפים וקייטרינג בהזמנה ישירה.","אוכל, מאפים וקייטרינג","157","944","BreadcrumbList","0","20","","1","1","true","308:http://washop.co.il/category/food-bakery-catering->https://washop.co.il/category/food-bakery-catering|200:https://washop.co.il/category/food-bakery-catering->","301:https://www.washop.co.il/category/food-bakery-catering->https://washop.co.il/category/food-bakery-catering|200:https://washop.co.il/category/food-bakery-catering->","308:http://localhost:3100/category/food-bakery-catering/->/category/food-bakery-catering|200:http://localhost:3100/category/food-bakery-catering->"
"/category/sweets-chocolate","category","sweets-chocolate","200","http://localhost:3100/category/sweets-chocolate","false","false","https://washop.co.il/category/sweets-chocolate","true","noindex, follow","he","rtl","he","rtl","מתוקים ושוקולדים חנויות וואטסאפ מאושרות בוואשופ","מארזי מתוקים, שוקולדים, קינוחים והפתעות מתוקות.","מתוקים ושוקולדים","153","929","BreadcrumbList","0","20","","1","1","true","308:http://washop.co.il/category/sweets-chocolate->https://washop.co.il/category/sweets-chocolate|200:https://washop.co.il/category/sweets-chocolate->","301:https://www.washop.co.il/category/sweets-chocolate->https://washop.co.il/category/sweets-chocolate|200:https://washop.co.il/category/sweets-chocolate->","308:http://localhost:3100/category/sweets-chocolate/->/category/sweets-chocolate|200:http://localhost:3100/category/sweets-chocolate->"
"/category/gifts-events","category","gifts-events","200","http://localhost:3100/category/gifts-events","true","true","https://washop.co.il/category/gifts-events","true","index, follow","he","rtl","he","rtl","מתנות ואירועים חנויות וואטסאפ מאושרות בוואשופ","מארזים, מתנות, הפקות קטנות ושירותים לאירועים. בקטגוריה הזו מופיעות רק חנויות ועסקים שאושרו ידנית בוואשופ, כדי שתוכלו לפתוח קטלוג, לבדוק פרטים ולפנות ישירות למוכר.","מתנות ואירועים","297","1752","BreadcrumbList|ItemList","7","24","1","1","1","true","308:http://washop.co.il/category/gifts-events->https://washop.co.il/category/gifts-events|200:https://washop.co.il/category/gifts-events->","301:https://www.washop.co.il/category/gifts-events->https://washop.co.il/category/gifts-events|200:https://washop.co.il/category/gifts-events->","308:http://localhost:3100/category/gifts-events/->/category/gifts-events|200:http://localhost:3100/category/gifts-events->"
"/category/personalized-prints-gifts","category","personalized-prints-gifts","200","http://localhost:3100/category/personalized-prints-gifts","true","true","https://washop.co.il/category/personalized-prints-gifts","true","index, follow","he","rtl","he","rtl","הדפסות ומתנות אישיות חנויות וואטסאפ מאושרות בוואשופ","הדפסות אישיות, בלוקי זכוכית, מארזים ומתנות בעיצוב אישי דרך קטלוג וואטסאפ. בקטגוריה הזו מופיעות רק חנויות ועסקים שאושרו ידנית בוואשופ, כדי שתוכלו לפתוח קטלוג, לבדוק פרטים ולפנות ישירות למוכר.","הדפסות ומתנות אישיות","304","1792","BreadcrumbList|ItemList","7","24","1","1","1","true","308:http://washop.co.il/category/personalized-prints-gifts->https://washop.co.il/category/personalized-prints-gifts|200:https://washop.co.il/category/personalized-prints-gifts->","301:https://www.washop.co.il/category/personalized-prints-gifts->https://washop.co.il/category/personalized-prints-gifts|200:https://washop.co.il/category/personalized-prints-gifts->","308:http://localhost:3100/category/personalized-prints-gifts/->/category/personalized-prints-gifts|200:http://localhost:3100/category/personalized-prints-gifts->"
"/category/flowers-event-design","category","flowers-event-design","200","http://localhost:3100/category/flowers-event-design","false","false","https://washop.co.il/category/flowers-event-design","true","noindex, follow","he","rtl","he","rtl","פרחים ועיצוב אירועים חנויות וואטסאפ מאושרות בוואשופ","פרחים, עיצוב שולחנות, קישוטים ושירותים לאירועים.","פרחים ועיצוב אירועים","155","938","BreadcrumbList","0","20","","1","1","true","308:http://washop.co.il/category/flowers-event-design->https://washop.co.il/category/flowers-event-design|200:https://washop.co.il/category/flowers-event-design->","301:https://www.washop.co.il/category/flowers-event-design->https://washop.co.il/category/flowers-event-design|200:https://washop.co.il/category/flowers-event-design->","308:http://localhost:3100/category/flowers-event-design/->/category/flowers-event-design|200:http://localhost:3100/category/flowers-event-design->"
"/category/babies-kids","category","babies-kids","200","http://localhost:3100/category/babies-kids","false","false","https://washop.co.il/category/babies-kids","true","noindex, follow","he","rtl","he","rtl","תינוקות וילדים חנויות וואטסאפ מאושרות בוואשופ","מוצרים, מתנות ושירותים למשפחות, ילדים ותינוקות.","תינוקות וילדים","153","925","BreadcrumbList","0","20","","1","1","true","308:http://washop.co.il/category/babies-kids->https://washop.co.il/category/babies-kids|200:https://washop.co.il/category/babies-kids->","301:https://www.washop.co.il/category/babies-kids->https://washop.co.il/category/babies-kids|200:https://washop.co.il/category/babies-kids->","308:http://localhost:3100/category/babies-kids/->/category/babies-kids|200:http://localhost:3100/category/babies-kids->"
